client_id,frame,delay_ms,fps
0,1,601.23,1.663
0,2,424.781,2.354
0,3,509.15,1.964
0,4,340.106,2.94
0,5,595.32,1.68
0,6,375.518,2.663
0,7,448.862,2.228
0,8,462.269,2.163
0,9,498.14,2.007
0,10,296.146,3.377
0,11,438.298,2.282
0,12,395.219,2.53
0,13,351.141,2.848
0,14,507.664,1.97
0,15,347.241,2.88
0,16,436.411,2.291
0,17,397.266,2.517
0,18,368.988,2.71
0,19,407.561,2.454
0,20,351.73,2.843
0,21,217.424,4.599
0,22,392.018,2.551
0,23,333.419,2.999
0,24,338.525,2.954
0,25,351.17,2.848
0,26,460.528,2.171
0,27,406.739,2.459
0,28,392.871,2.545
0,29,431.431,2.318
0,30,334.842,2.986
0,31,462.835,2.161
0,32,351.948,2.841
0,33,246.229,4.061
0,34,334.79,2.987
0,35,447.464,2.235
0,36,430.455,2.323
0,37,464.048,2.155
0,38,449.37,2.225
0,39,403.084,2.481
0,40,446.705,2.239
0,41,379.909,2.632
0,42,385.878,2.591
0,43,399.92,2.5
0,44,451.152,2.217
0,45,377.117,2.652
0,46,322.568,3.1
0,47,483.43,2.069
0,48,353.716,2.827
0,49,559.606,1.787
0,50,316.993,3.155
0,51,371.553,2.691
0,52,422.168,2.369
0,53,384.908,2.598
0,54,464.78,2.152
0,55,384.891,2.598
0,56,353.906,2.826
0,57,396.849,2.52
0,58,416.337,2.402
0,59,329.521,3.035
0,60,257.11,3.889
0,61,310.777,3.218
0,62,433.658,2.306
0,63,433.716,2.306
0,64,337.059,2.967
0,65,498.141,2.007
0,66,359.935,2.778
0,67,368.1,2.717
0,68,433.915,2.305
0,69,406.829,2.458
0,70,368.157,2.716
0,71,410.783,2.434
0,72,563.961,1.773
0,73,427.159,2.341
0,74,427.169,2.341
0,75,649.615,1.539
0,76,438.216,2.282
0,77,390.149,2.563
0,78,322.848,3.097
0,79,326.829,3.06
0,80,599.37,1.668
0,81,456.098,2.193
0,82,278.793,3.587
0,83,558.323,1.791
0,84,335.713,2.979
0,85,305.186,3.277
0,86,441.001,2.268
0,87,578.412,1.729
0,88,330.691,3.024
0,89,352.671,2.836
0,90,374.865,2.668
0,91,338.62,2.953
0,92,419.382,2.384
0,93,301.878,3.313
0,94,452.903,2.208
0,95,446.472,2.24
0,96,717.682,1.393
0,97,425.521,2.35
0,98,405.21,2.468
0,99,548.375,1.824
0,100,451.343,2.216
0,101,361.173,2.769
0,102,361.062,2.77
0,103,469.018,2.132
0,104,381.148,2.624
0,105,477.182,2.096
0,106,506.486,1.974
0,107,382.389,2.615
0,108,388.595,2.573
0,109,365.105,2.739
0,110,380.681,2.627
0,111,414.508,2.412
0,112,414.053,2.415
0,113,342.496,2.92
0,114,366.01,2.732
0,115,422.551,2.367
0,116,498.868,2.005
0,117,476.202,2.1
0,118,324.005,3.086
0,119,628.734,1.59
0,120,503.009,1.988
0,121,361.63,2.765
0,122,365.048,2.739
0,123,446.297,2.241
0,124,476.921,2.097
0,125,504.845,1.981
0,126,508.343,1.967
0,127,366.384,2.729
0,128,432.392,2.313
0,129,335.203,2.983
0,130,456.95,2.188
0,131,503.212,1.987
0,132,400.934,2.494
0,133,554.581,1.803
0,134,368.041,2.717
0,135,471.749,2.12
0,136,423.78,2.36
0,137,363.948,2.748
0,138,420.099,2.38
0,139,268.987,3.718
0,140,351.255,2.847
0,141,461.755,2.166
0,142,420.086,2.38
0,143,520.715,1.92
0,144,331.415,3.017
0,145,357.453,2.798
0,146,402.309,2.486
